1868,395
1869,118
1870,385
1871,1008
1872,1096
1873,512
1874,217
1875,1432
1876,4682
1877,1861
1878,292
1879,1300
1880,731
1881,753
1882,1394
1883,498
1884,115
1885,501
1886,306
1887,1167
1888,628
1889,1503
1891,2585
1892,1119
1893,979
1894,1216
1895,1061
1896,360
1897,607
1898,2759
1899,796
1900,490
1901,1494
1902,4489
1903,1879
1904,248
1905,3237
1906,5019
1907,1189
1908,159
1909,632
1910,3502
1911,547
1912,78
1913,131
1914,704
1915,429
1916,29
1917,344
1918,1607
1919,768
1920,296
1921,2397
1922,9797
1923,1806
1924,497
